icb_code,org_code,planning_ref,measure_type,dimension_name,ref_key,latest_position,goal,variance,directionality,rag_status,percent_variance,full_key
QRL,R1F,E.B.23c,Mean,Nov-24,E.B.23cMean,25.7756804,30,-4.224319600000001,under,G,-14.081065333333337,E.B.23cMeanR1F
QRL,RYE,E.B.23c,Mean,Nov-24,E.B.23cMean,37.30854642,30,7.308546419999999,under,R,24.361821399999997,E.B.23cMeanRYE
QXU,RYD,E.B.23c,Mean,Nov-24,E.B.23cMean,28.45884746,30,-1.5411525399999988,under,G,-5.137175133333329,E.B.23cMeanRYD
Y59,Y59,E.B.23c,Mean,Nov-24,E.B.23cMean,32.18625138,30,2.1862513800000016,under,R,7.287504600000005,E.B.23cMeanY59
QRL,QRL,E.B.35,Percentage,Oct-24,E.B.35Percentage,74.4721689059501,70,4.472168905950099,over,G,6.388812722785856,E.B.35PercentageQRL
QRL,RHM,E.B.35,Percentage,Oct-24,E.B.35Percentage,77.47440273037543,70,7.474402730375431,over,G,10.677718186250615,E.B.35PercentageRHM
QNX,RPC,E.B.35,Percentage,Oct-24,E.B.35Percentage,79.5,70,9.5,over,G,13.571428571428571,E.B.35PercentageRPC
QKS,RPA,E.B.35,Percentage,Oct-24,E.B.35Percentage,65.4485049833887,70,-4.551495016611298,over,R,-6.502135738016141,E.B.35PercentageRPA
QKS,RWF,E.B.35,Percentage,Oct-24,E.B.35Percentage,86.02620087336244,70,16.02620087336244,over,G,22.89457267623206,E.B.35PercentageRWF
QKS,RVV,E.B.35,Percentage,Oct-24,E.B.35Percentage,70.37552155771905,70,0.37552155771905404,over,G,0.5364593681700772,E.B.35PercentageRVV
QNX,QNX,E.B.35,Percentage,Oct-24,E.B.35Percentage,62.5349487418453,70,-7.465051258154702,over,R,-10.664358940221003,E.B.35PercentageQNX
QU9,RXQ,E.B.35,Percentage,Oct-24,E.B.35Percentage,49.29245283018868,70,-20.70754716981132,over,R,-29.582210242587603,E.B.35PercentageRXQ
QRL,R1F,E.B.35,Percentage,Oct-24,E.B.35Percentage,50,70,-20,over,R,-28.57142857142857,E.B.35PercentageR1F
QU9,RHW,E.B.35,Percentage,Oct-24,E.B.35Percentage,76.26373626373626,70,6.263736263736263,over,G,8.948194662480375,E.B.35PercentageRHW
QRL,RHU,E.B.35,Percentage,Oct-24,E.B.35Percentage,80.40638606676342,70,10.406386066763417,over,G,14.866265809662025,E.B.35PercentageRHU
QNX,RXC,E.B.35,Percentage,Oct-24,E.B.35Percentage,75.09363295880149,70,5.093632958801493,over,G,7.276618512573561,E.B.35PercentageRXC
QNQ,RDU,E.B.35,Percentage,Oct-24,E.B.35Percentage,71.8543046357616,70,1.8543046357615935,over,G,2.6490066225165623,E.B.35PercentageRDU
QXU,RTP,E.B.35,Percentage,Oct-24,E.B.35Percentage,74.58100558659217,70,4.58100558659217,over,G,6.544293695131671,E.B.35PercentageRTP
QRL,RN5,E.B.35,Percentage,Oct-24,E.B.35Percentage,71.68458781362007,70,1.6845878136200696,over,G,2.4065540194572423,E.B.35PercentageRN5
QXU,RTK,E.B.35,Percentage,Oct-24,E.B.35Percentage,85.99033816425121,70,15.990338164251213,over,G,22.84334023464459,E.B.35PercentageRTK
QNQ,QNQ,E.B.35,Percentage,Oct-24,E.B.35Percentage,72.41379310344827,70,2.4137931034482705,over,G,3.4482758620689578,E.B.35PercentageQNQ
QKS,RN7,E.B.35,Percentage,Oct-24,E.B.35Percentage,74.48979591836735,70,4.489795918367349,over,G,6.413994169096212,E.B.35PercentageRN7
QNX,RYR,E.B.35,Percentage,Oct-24,E.B.35Percentage,55.74324324324324,70,-14.256756756756758,over,R,-20.36679536679537,E.B.35PercentageRYR
QXU,QXU,E.B.35,Percentage,Oct-24,E.B.35Percentage,80.83333333333333,70,10.833333333333329,over,G,15.47619047619047,E.B.35PercentageQXU
QKS,QKS,E.B.35,Percentage,Oct-24,E.B.35Percentage,72.41379310344827,70,2.4137931034482705,over,G,3.4482758620689578,E.B.35PercentageQKS
QU9,RTH,E.B.35,Percentage,Oct-24,E.B.35Percentage,63.171355498721226,70,-6.828644501278774,over,R,-9.755206430398248,E.B.35PercentageRTH
QXU,RA2,E.B.35,Percentage,Oct-24,E.B.35Percentage,74.66307277628033,70,4.66307277628033,over,G,6.661532537543328,E.B.35PercentageRA2
QRL,QRL,E.B.27,Percentage,Oct-24,E.B.27Percentage,77.94457274826789,77,0.9445727482678876,over,G,1.2267178548933606,E.B.27PercentageQRL
QRL,RHM,E.B.27,Percentage,Oct-24,E.B.27Percentage,84.81228668941979,77,7.812286689419793,over,G,10.145826869376354,E.B.27PercentageRHM
QNX,RPC,E.B.27,Percentage,Oct-24,E.B.27Percentage,83.6441893830703,77,6.644189383070298,over,G,8.628817380610778,E.B.27PercentageRPC
QKS,RPA,E.B.27,Percentage,Oct-24,E.B.27Percentage,76.76224611708483,77,-0.23775388291517174,over,A,-0.30877127651321007,E.B.27PercentageRPA
QKS,RWF,E.B.27,Percentage,Oct-24,E.B.27Percentage,77.53424657534246,77,0.5342465753424648,over,G,0.6938267212239803,E.B.27PercentageRWF
QKS,RVV,E.B.27,Percentage,Oct-24,E.B.27Percentage,71.30696044066099,77,-5.693039559339013,over,R,-7.393557869271445,E.B.27PercentageRVV
QNX,QNX,E.B.27,Percentage,Oct-24,E.B.27Percentage,73.33886277762419,77,-3.661137222375814,over,A,-4.754723665423135,E.B.27PercentageQNX
QU9,RXQ,E.B.27,Percentage,Oct-24,E.B.27Percentage,74.13793103448276,77,-2.8620689655172384,over,A,-3.71697268248992,E.B.27PercentageRXQ
QU9,RHW,E.B.27,Percentage,Oct-24,E.B.27Percentage,80.27812895069533,77,3.278128950695333,over,G,4.257310325578354,E.B.27PercentageRHW
QRL,RHU,E.B.27,Percentage,Oct-24,E.B.27Percentage,78.748370273794,77,1.748370273793995,over,G,2.2706107451870063,E.B.27PercentageRHU
QNQ,RDU,E.B.27,Percentage,Oct-24,E.B.27Percentage,80.91780424048794,77,3.917804240487939,over,G,5.0880574551791415,E.B.27PercentageRDU
QU9,QU9,E.B.35,Percentage,Oct-24,E.B.35Percentage,64.23444976076556,70,-5.765550239234443,over,R,-8.23650034176349,E.B.35PercentageQU9
QRL,RN5,E.B.27,Percentage,Oct-24,E.B.27Percentage,72.48291571753987,77,-4.517084282460132,over,R,-5.866343223974198,E.B.27PercentageRN5
