icb_code,org_code,planning_ref,measure_type,dim_type,fin_year,ref_key,source,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,full_key
QRL,QRL,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorQRL
QRL,QRL,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,673,730,798,809,843,817,790,874,802,767,787,816,E.B.35NumeratorQRL
QRL,QRL,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,-49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorQRL
QRL,QRL,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorQRL
QRL,QRL,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,936,1037,1092,1060,1095,1032,1033,1131,1007,1011,1003,1034,E.B.35DenominatorQRL
QRL,QRL,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,-55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorQRL
QRL,QRL,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,70.82860385925085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageQRL
QRL,QRL,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,71.9017094017094,70.39537126325939,73.07692307692307,76.32075471698113,76.98630136986301,79.16666666666666,76.47628267182962,77.27674624226348,79.64250248262165,75.86547972304649,78.46460618145564,78.91682785299807,E.B.35PercentageQRL
QRL,QRL,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,-1.0731055424585492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageQRL
QRL,RHM,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRHM
QRL,RHM,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,199,225,255,272,264,238,243,273,252,212,236,262,E.B.35NumeratorRHM
QRL,RHM,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRHM
QRL,RHM,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRHM
QRL,RHM,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,303,362,400,389,383,335,361,393,337,341,329,365,E.B.35DenominatorRHM
QRL,RHM,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,-43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRHM
QRL,RHM,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,76.53846153846153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRHM
QRL,RHM,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,65.67656765676567,62.15469613259669,63.74999999999999,69.9228791773779,68.9295039164491,71.04477611940298,67.31301939058172,69.46564885496184,74.77744807121661,62.17008797653959,71.73252279635258,71.78082191780823,E.B.35PercentageRHM
QRL,RHM,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,10.861893881695863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRHM
QNX,RPC,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRPC
QNX,RPC,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,33,48,51,49,46,53,66,64,48,46,46,33,E.B.35NumeratorRPC
QNX,RPC,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRPC
QNX,RPC,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRPC
QNX,RPC,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,47,68,72,69,61,73,81,85,59,66,65,43,E.B.35DenominatorRPC
QNX,RPC,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRPC
QNX,RPC,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,81.74603174603175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRPC
QNX,RPC,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,70.2127659574468,70.58823529411765,70.83333333333334,71.01449275362319,75.40983606557377,72.6027397260274,81.48148148148148,75.29411764705883,81.35593220338984,69.6969696969697,70.76923076923077,76.74418604651163,E.B.35PercentageRPC
QNX,RPC,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,11.533265788584941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRPC
QKS,RPA,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRPA
QKS,RPA,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,69,65,61,66,66,68,72,75,71,72,74,72,E.B.35NumeratorRPA
QKS,RPA,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRPA
QKS,RPA,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRPA
QKS,RPA,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,94,89,83,89,88,89,94,95,89,88,89,84,E.B.35DenominatorRPA
QKS,RPA,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRPA
QKS,RPA,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,69.87577639751554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRPA
QKS,RPA,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,73.40425531914893,73.03370786516854,73.49397590361446,74.15730337078652,75,76.40449438202246,76.59574468085107,78.94736842105263,79.7752808988764,81.81818181818183,83.14606741573034,85.71428571428571,E.B.35PercentageRPA
QKS,RPA,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,-3.5284789216333934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRPA
QKS,RWF,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,153.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRWF
QKS,RWF,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,122,172,182,142,173,173,153,197,200,178,170,162,E.B.35NumeratorRWF
QKS,RWF,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRWF
QKS,RWF,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRWF
QKS,RWF,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,143,201,213,166,202,203,179,230,234,208,199,189,E.B.35DenominatorRWF
QKS,RWF,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRWF
QKS,RWF,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,85.75418994413407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRWF
QKS,RWF,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,85.3146853146853,85.57213930348259,85.44600938967136,85.54216867469879,85.64356435643565,85.22167487684729,85.47486033519553,85.65217391304348,85.47008547008546,85.57692307692307,85.42713567839196,85.71428571428571,E.B.35PercentageRWF
QKS,RWF,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,0.4395046294487628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRWF
QKS,RVV,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,244.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRVV
QKS,RVV,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,269,271,235,286,237,236,265,235,224,250,227,238,E.B.35NumeratorRVV
QKS,RVV,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,-24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorRVV
QKS,RVV,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,370.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRVV
QKS,RVV,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,400,403,349,419,347,346,383,340,323,356,323,339,E.B.35DenominatorRVV
QKS,RVV,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,-29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorRVV
QKS,RVV,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,current_actuals,65.9919028340081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRVV
QKS,RVV,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,June24_plan,67.25,67.24565756823822,67.3352435530086,68.25775656324582,68.29971181556196,68.20809248554913,69.19060052219321,69.11764705882352,69.3498452012384,70.2247191011236,70.27863777089783,70.20648967551622,E.B.35PercentageRVV
QKS,RVV,E.B.35,Percentage,Month,2024/25,E.B.35Percentage,variance,-1.2580971659918987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35PercentageRVV
QNX,QNX,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,current_actuals,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorQNX
QNX,QNX,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,June24_plan,556,607,600,630,531,528,644,588,543,621,584,607,E.B.35NumeratorQNX
QNX,QNX,E.B.35,Numerator,Month,2024/25,E.B.35Numerator,variance,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35NumeratorQNX
QNX,QNX,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,current_actuals,979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorQNX
QNX,QNX,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,June24_plan,859,885,883,929,856,892,979,887,793,888,832,853,E.B.35DenominatorQNX
QNX,QNX,E.B.35,Denominator,Month,2024/25,E.B.35Denominator,variance,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.B.35DenominatorQNX
