icb_code,org_code,dimension_name,source,planning_ref,measure_type,metric_value,ref_key
QRL,R1F,Apr 2024 - Apr 2024,current_actuals,E.B.23c,Count,1296,E.B.23cCount
QRL,R1F,Apr 2024 - Apr 2024,current_actuals,E.B.23c,Mean,23.11085391,E.B.23cMean
QRL,R1F,Apr 2024 - Aug 2024,current_actuals,E.B.23c,Count,1281,E.B.23cCount
QRL,R1F,Apr 2024 - Aug 2024,current_actuals,E.B.23c,Mean,26.65666146,E.B.23cMean
QRL,R1F,Apr 2024 - Jul 2024,current_actuals,E.B.23c,Count,1411,E.B.23cCount
QRL,R1F,Apr 2024 - Jul 2024,current_actuals,E.B.23c,Mean,35.34270021,E.B.23cMean
QRL,R1F,Apr 2024 - Jun 2024,current_actuals,E.B.23c,Count,1407,E.B.23cCount
QRL,R1F,Apr 2024 - Jun 2024,current_actuals,E.B.23c,Mean,31.85043828,E.B.23cMean
QRL,R1F,Apr 2024 - May 2024,current_actuals,E.B.23c,Count,1333,E.B.23cCount
QRL,R1F,Apr 2024 - May 2024,current_actuals,E.B.23c,Mean,30.10830208,E.B.23cMean
QRL,R1F,Apr 2024 - Nov 2024,current_actuals,E.B.23c,Count,1335,E.B.23cCount
QRL,R1F,Apr 2024 - Nov 2024,current_actuals,E.B.23c,Mean,25.7756804,E.B.23cMean
QRL,R1F,Apr 2024 - Oct 2024,current_actuals,E.B.23c,Count,1287,E.B.23cCount
QRL,R1F,Apr 2024 - Oct 2024,current_actuals,E.B.23c,Mean,30.14716395,E.B.23cMean
QRL,R1F,Apr 2024 - Sep 2024,current_actuals,E.B.23c,Count,1392,E.B.23cCount
QRL,R1F,Apr 2024 - Sep 2024,current_actuals,E.B.23c,Mean,29.90823755,E.B.23cMean
QRL,R1F,Apr-24,current_actuals,E.B.23c,Count,1296,E.B.23cCount
QRL,R1F,Apr-24,current_actuals,E.B.23c,Mean,23.11085391,E.B.23cMean
QRL,R1F,Aug-24,current_actuals,E.B.23c,Count,1281,E.B.23cCount
QRL,R1F,Aug-24,current_actuals,E.B.23c,Mean,26.65666146,E.B.23cMean
QRL,R1F,Jul-24,current_actuals,E.B.23c,Count,1411,E.B.23cCount
QRL,R1F,Jul-24,current_actuals,E.B.23c,Mean,35.34270021,E.B.23cMean
QRL,R1F,Jun-24,current_actuals,E.B.23c,Count,1407,E.B.23cCount
QRL,R1F,Jun-24,current_actuals,E.B.23c,Mean,31.85043828,E.B.23cMean
QRL,R1F,May-24,current_actuals,E.B.23c,Count,1333,E.B.23cCount
QRL,R1F,May-24,current_actuals,E.B.23c,Mean,30.10830208,E.B.23cMean
QRL,R1F,Nov-24,current_actuals,E.B.23c,Count,1335,E.B.23cCount
QRL,R1F,Nov-24,current_actuals,E.B.23c,Mean,25.7756804,E.B.23cMean
QRL,R1F,Oct-24,current_actuals,E.B.23c,Count,1287,E.B.23cCount
QRL,R1F,Oct-24,current_actuals,E.B.23c,Mean,30.14716395,E.B.23cMean
QRL,R1F,Sep-24,current_actuals,E.B.23c,Count,1392,E.B.23cCount
QRL,R1F,Sep-24,current_actuals,E.B.23c,Mean,29.90823755,E.B.23cMean
QRL,RYE,Apr 2024 - Apr 2024,current_actuals,E.B.23c,Count,25037,E.B.23cCount
QRL,RYE,Apr 2024 - Apr 2024,current_actuals,E.B.23c,Mean,27.66626726,E.B.23cMean
QRL,RYE,Apr 2024 - Aug 2024,current_actuals,E.B.23c,Count,24376,E.B.23cCount
QRL,RYE,Apr 2024 - Aug 2024,current_actuals,E.B.23c,Mean,30.57009285,E.B.23cMean
QRL,RYE,Apr 2024 - Jul 2024,current_actuals,E.B.23c,Count,26081,E.B.23cCount
QRL,RYE,Apr 2024 - Jul 2024,current_actuals,E.B.23c,Mean,39.99733203,E.B.23cMean
QRL,RYE,Apr 2024 - Jun 2024,current_actuals,E.B.23c,Count,24765,E.B.23cCount
QRL,RYE,Apr 2024 - Jun 2024,current_actuals,E.B.23c,Mean,29.83357359,E.B.23cMean
QRL,RYE,Apr 2024 - May 2024,current_actuals,E.B.23c,Count,25786,E.B.23cCount
QRL,RYE,Apr 2024 - May 2024,current_actuals,E.B.23c,Mean,33.95344631,E.B.23cMean
QRL,RYE,Apr 2024 - Nov 2024,current_actuals,E.B.23c,Count,27454,E.B.23cCount
