activity_category,component_name,component_type,granularity,measure_id,measure_subject,measure_name,measure_short_name,measure_type,planning_ref,presentation_metric,ref_key,directionality,threshold1,threshold2
Diagnostics,Diagnostic tests - All,Count,Provider & ICB,SE_EB26_C,Diagnostic Tests,Diagnostic Tests - All,Diag All,Count,E.B.26,yes,E.B.26Count,on,0.01,0.05
Diagnostics,Diagnostic tests waiting list total - All,Denominator,Provider & ICB,SE_EB28_D,Diagnostic Tests,Diagnostic Tests Waiting List - All,Diag WL All,Denominator,E.B.28,no,E.B.28Denominator,NA,NA,NA
Diagnostics,Diagnostic test waiting list over 6 weeks - All,Numerator,Provider & ICB,SE_EB28_N,Diagnostic Tests,Diagnostic Tests Waiting List - All,Diag WL All,Numerator,E.B.28,no,E.B.28Numerator,NA,NA,NA
Diagnostics,Diagnostic tests waiting list percentage - All,Percentage,Provider & ICB,SE_EB28_P,Diagnostic Tests,Diagnostic Tests Waiting List - All,Diag WL All,Percentage,E.B.28,yes,E.B.28Percentage,over,0.01,0.05
Outpatients,Total outpatient attendances (all TFC; consultant and non consultant led),Count,Provider & ICB,SE_EM34_D,Outpatient,Total outpatient attendances (all TFC; consultant and non consultant led),Total OP (All),Denominator,E.M.34,no,E.M.34Denominator,NA,NA,NA
Outpatients,Number of episodes moved or discharged to patient initiated outpatient follow-up pathway as an outcome of their attendance,Count,Provider/ICB,SE_EM34_N,Outpatient,Number of episodes moved or discharged to patient initiated outpatient follow-up pathway as an outcome of their attendance,PIFU pathway,Numerator,E.M.34,no,E.M.34Numerator,NA,NA,NA
Outpatients,Outpatient follow up attendances without procedure - ERF scope,Count,ICB,SE_EM38_D,Outpatient,Total outpatient attendances - ERF scope,Total OP - ERF scope,Denominator,E.M.38,no,E.M.38Denominator,NA,NA,NA
Outpatients,Outpatient follow up attendances without procedure - ERF scope,Count,ICB,SE_EM38_N,Outpatient,Outpatient follow up attendances without procedure - ERF scope,OPFU ERF,Numerator,E.M.38,no,E.M.38Numerator,NA,NA,NA
Mental Health,Number of patients that achieved reliable improvement,Numerator,ICB,3088,Mental Health,Access to NHS talking therapies for anxiety and depression - reliable improvement,Reliable improvement,Numerator,E.A.4b,no,E.A.4bNumerator,NA,NA,NA
Mental Health,Number of patients that achieved reliable recovery,Numerator,ICB,3091,Mental Health,Access to NHS talking therapies for anxiety and depression - reliable recovery,Reliable recovery,Numerator,E.A.4a,no,E.A.4aNumerator,NA,NA,NA
Mental Health,Active inappropriate adult acute mental health out of areas placements (OAPs),Count,MHProvider,3110,Mental Health,Active inappropriate adult acute mental health out of areas placements (OAPs),OAPs,Count,E.A.5,yes,E.A.5Count,under,0.01,0.05
Mental Health,Number of people aged 65 or over diagnosed with dementia,Numerator,ICB,1120,Mental Health,Estimated diagnosis rate for people with dementia,Dem. Diagnosis,Numerator,E.A.S.1,no,E.A.S.1Numerator,NA,NA,NA
RTT,The number of incomplete Referral to Treatment (RTT) pathways (patients yet to start treatment) of 52 weeks or more,Count,Provider,1013,Elective,Number of 52+ week RTT waits,RTT 52WW,Count,E.B.18,yes,E.B.18Count,under,0.01,0.05
Ambulance,Category 2- Total number of ambulance attendances,Total,Ambulance trust,1180,Ambulance,Ambulance Response Times - Category 2,Cat 2 Response,Count,E.B.23c,no,E.B.23cCount,NA,NA,NA
RTT,"Number of 52+ week RTT waits, of which children under 18 years",Count,Provider/ICB,3087,Elective,"Number of 52+ week RTT waits, of which children under 18 years",52+ week RTT waits - children under 18 years,Count,E.B.24,yes,E.B.24Count,under,0.01,0.05
RTT,The number of incomplete Referral to Treatment (RTT) pathways (patients yet to start treatment) of 65 weeks or more,Count,Provider,2074,Elective,Number of 65+ week RTT waits,RTT 65WW,Count,E.B.20,yes,E.B.20Count,under,0.01,0.05
Diagnostics,Diagnostic Tests - Magnetic Resonance Imaging,Count,Provider & ICB,1096,Diagnostic Tests,Diagnostic Tests - Magnetic Resonance Imaging,MRI,Count,E.B.26a,yes,E.B.26aCount,on,0.01,0.05
Diagnostics,Diagnostic Tests - Computed Tomography,Count,Provider & ICB,1092,Diagnostic Tests,Diagnostic Tests - Computed Tomography,CT,Count,E.B.26b,yes,E.B.26bCount,on,0.01,0.05
Diagnostics,Diagnostic Tests - Non-Obstetric Ultrasound,Count,Provider & ICB,1097,Diagnostic Tests,Diagnostic Tests - Non-Obstetric Ultrasound,Non-Obs Ultra,Count,E.B.26c,yes,E.B.26cCount,on,0.01,0.05
Diagnostics,Diagnostic Tests - Colonoscopy,Count,Provider & ICB,1091,Diagnostic Tests,Diagnostic Tests - Colonoscopy,Colonoscopy,Count,E.B.26d,yes,E.B.26dCount,on,0.01,0.05
Diagnostics,Diagnostic Tests - Flexi Sigmoidoscopy,Count,Provider & ICB,1094,Diagnostic Tests,Diagnostic Tests - Flexi Sigmoidoscopy,Flexi Sig,Count,E.B.26e,yes,E.B.26eCount,on,0.01,0.05
Diagnostics,Diagnostic Tests - Gastroscopy,Count,Provider & ICB,1095,Diagnostic Tests,Diagnostic Tests - Gastroscopy,Gastroscopy,Count,E.B.26f,yes,E.B.26fCount,on,0.01,0.05
Diagnostics,Diagnostic Tests - Cardiology - Echocardiography,Count,Provider & ICB,1093,Diagnostic Tests,Diagnostic Tests - Cardiology - Echocardiography,Echocardio,Count,E.B.26g,yes,E.B.26gCount,on,0.01,0.05
Diagnostics,Diagnostic Tests - DEXA Scan,Count,NA,1098,Diagnostic Tests,Diagnostic Tests - DEXA Scan,DEXA Scan,Count,E.B.26h,yes,E.B.26hCount,on,0.01,0.05
Diagnostics,Diagnostics Tests - Audiology,Count,NA,3080,Diagnostic Tests,Diagnostics Tests - Audiology,Diagnostics Tests - Audiology,Count,E.B.26k,yes,E.B.26kCount,on,0.01,0.05
Cancer,"Number of patients receiving communication of diagnosis for cancer or ruling out of cancer, or a decision to treat if made before a communication of diagnosis, within 28-days following an urgent referral for suspected cancer, an referral for breast symptoms where cancer was not initially suspected or an urgent referral from an NHS Cancer Screening Service, within a given month/quarter",Numerator,Provider & ICB,1049,Cancer,Cancer 28 day waits (faster diagnosis standard),Cancer - FDS,Numerator,E.B.27,no,E.B.27Numerator,NA,NA,NA
Diagnostics,Diagnostic test waiting list over 6 weeks - Magnetic Resonance Imaging,Numerator,ICB,2021,Diagnostic Tests,Diagnostic test waiting list - Magnetic Resonance Imaging,MRI - waiting list,Numerator,E.B.28a,no,E.B.28aNumerator,NA,NA,NA
Diagnostics,Diagnostic test waiting list over 6 weeks - Computed Tomography,Numerator,ICB,2024,Diagnostic Tests,Diagnostic test waiting list - Computed Tomography,CT - waiting list,Numerator,E.B.28b,no,E.B.28bNumerator,NA,NA,NA
Diagnostics,Diagnostic test waiting list over 6 weeks - Non-Obstetric Ultrasound,Numerator,ICB,2027,Diagnostic Tests,Diagnostic test waiting list - Non-Obstetric Ultrasound,Non-Obs Ultra - waiting list,Numerator,E.B.28c,no,E.B.28cNumerator,NA,NA,NA
Diagnostics,Diagnostic test waiting list over 6 weeks - Colonoscopy,Numerator,ICB,2030,Diagnostic Tests,Diagnostic test waiting list - Colonoscopy,Colonoscopy - waiting list,Numerator,E.B.28d,no,E.B.28dNumerator,NA,NA,NA
Diagnostics,Diagnostic test waiting list over 6 weeks - Flexi Sigmoidoscopy,Numerator,ICB,2033,Diagnostic Tests,Diagnostic test waiting list - Flexi Sigmoidoscopy,Flexi Sig - waiting list,Numerator,E.B.28e,no,E.B.28eNumerator,NA,NA,NA
Diagnostics,Diagnostic test waiting list over 6 weeks - Gastroscopy,Numerator,ICB,2036,Diagnostic Tests,Diagnostic test waiting list - Gastroscopy,Gastroscopy - waiting list,Numerator,E.B.28f,no,E.B.28fNumerator,NA,NA,NA
Diagnostics,Diagnostic test waiting list over 6 weeks - Cardiology - Echocardiography,Numerator,ICB,2039,Diagnostic Tests,Diagnostic test waiting list - Cardiology - Echocardiography,Echocardio - waiting list,Numerator,E.B.28g,no,E.B.28gNumerator,NA,NA,NA
Diagnostics,Diagnostic test waiting list over 6 weeks - DEXA,Numerator,NA,3081,Diagnostic Tests,Diagnostic test waiting list - DEXA,DEXA - waiting list,Numerator,E.B.28h,no,E.B.28hNumerator,NA,NA,NA
