planning_ref,measure_type,deadline,Goal,org_code,key_1,full_key
AE_attends_op_priority,Percentage,March,78,NA,AE_attends_op_priorityPercentage,AE_attends_op_priorityPercentageNA
E.B.23c,Mean,March,30,R1F,E.B.23cMean,E.B.23cMeanR1F
E.B.23c,Mean,March,30,RYE,E.B.23cMean,E.B.23cMeanRYE
E.B.23c,Mean,March,30,RYD,E.B.23cMean,E.B.23cMeanRYD
E.B.23c,Mean,March,30,QU9,E.B.23cMean,E.B.23cMeanQU9
E.B.23c,Mean,March,30,QNQ,E.B.23cMean,E.B.23cMeanQNQ
E.B.23c,Mean,March,30,QNX,E.B.23cMean,E.B.23cMeanQNX
E.B.23c,Mean,March,30,QKS,E.B.23cMean,E.B.23cMeanQKS
E.B.23c,Mean,March,30,QRL,E.B.23cMean,E.B.23cMeanQRL
E.B.23c,Mean,March,30,QXU,E.B.23cMean,E.B.23cMeanQXU
E.B.23c,Mean,March,30,Y59,E.B.23cMean,E.B.23cMeanY59
E.B.20,Count,September,0,RHW,E.B.20Count,E.B.20CountRHW
E.B.20,Count,September,0,RTH,E.B.20Count,E.B.20CountRTH
E.B.20,Count,September,0,RXQ,E.B.20Count,E.B.20CountRXQ
E.B.20,Count,September,0,QU9,E.B.20Count,E.B.20CountQU9
E.B.20,Count,September,0,RDU,E.B.20Count,E.B.20CountRDU
E.B.20,Count,September,0,QNQ,E.B.20Count,E.B.20CountQNQ
E.B.20,Count,September,0,R1F,E.B.20Count,E.B.20CountR1F
E.B.20,Count,September,0,RHM,E.B.20Count,E.B.20CountRHM
E.B.20,Count,September,0,RHU,E.B.20Count,E.B.20CountRHU
E.B.20,Count,September,0,RN5,E.B.20Count,E.B.20CountRN5
E.B.20,Count,September,0,QRL,E.B.20Count,E.B.20CountQRL
E.B.20,Count,September,0,RA2,E.B.20Count,E.B.20CountRA2
E.B.20,Count,September,0,RTK,E.B.20Count,E.B.20CountRTK
E.B.20,Count,September,0,RTP,E.B.20Count,E.B.20CountRTP
E.B.20,Count,September,0,QXU,E.B.20Count,E.B.20CountQXU
E.B.20,Count,September,0,RN7,E.B.20Count,E.B.20CountRN7
E.B.20,Count,September,0,RPA,E.B.20Count,E.B.20CountRPA
E.B.20,Count,September,0,RVV,E.B.20Count,E.B.20CountRVV
E.B.20,Count,September,0,RWF,E.B.20Count,E.B.20CountRWF
E.B.20,Count,September,0,QKS,E.B.20Count,E.B.20CountQKS
E.B.20,Count,September,0,RPC,E.B.20Count,E.B.20CountRPC
E.B.20,Count,September,0,RXC,E.B.20Count,E.B.20CountRXC
E.B.20,Count,September,0,RYR,E.B.20Count,E.B.20CountRYR
E.B.20,Count,September,0,QNX,E.B.20Count,E.B.20CountQNX
E.B.20,Count,September,0,Y59,E.B.20Count,E.B.20CountY59
E.B.35,Percentage,March,70,QU9,E.B.35Percentage,E.B.35PercentageQU9
E.B.35,Percentage,March,70,RHW,E.B.35Percentage,E.B.35PercentageRHW
E.B.35,Percentage,March,70,RTH,E.B.35Percentage,E.B.35PercentageRTH
E.B.35,Percentage,March,70,RXQ,E.B.35Percentage,E.B.35PercentageRXQ
E.B.35,Percentage,March,70,QNQ,E.B.35Percentage,E.B.35PercentageQNQ
E.B.35,Percentage,March,70,RDU,E.B.35Percentage,E.B.35PercentageRDU
E.B.35,Percentage,March,70,QRL,E.B.35Percentage,E.B.35PercentageQRL
E.B.35,Percentage,March,70,R1F,E.B.35Percentage,E.B.35PercentageR1F
E.B.35,Percentage,March,70,RHM,E.B.35Percentage,E.B.35PercentageRHM
E.B.35,Percentage,March,70,RHU,E.B.35Percentage,E.B.35PercentageRHU
E.B.35,Percentage,March,70,RN5,E.B.35Percentage,E.B.35PercentageRN5
E.B.35,Percentage,March,70,QXU,E.B.35Percentage,E.B.35PercentageQXU
E.B.35,Percentage,March,70,RA2,E.B.35Percentage,E.B.35PercentageRA2
E.B.35,Percentage,March,70,RTK,E.B.35Percentage,E.B.35PercentageRTK
E.B.35,Percentage,March,70,RTP,E.B.35Percentage,E.B.35PercentageRTP
E.B.35,Percentage,March,70,QKS,E.B.35Percentage,E.B.35PercentageQKS
E.B.35,Percentage,March,70,RN7,E.B.35Percentage,E.B.35PercentageRN7
E.B.35,Percentage,March,70,RPA,E.B.35Percentage,E.B.35PercentageRPA
E.B.35,Percentage,March,70,RVV,E.B.35Percentage,E.B.35PercentageRVV
E.B.35,Percentage,March,70,RWF,E.B.35Percentage,E.B.35PercentageRWF
E.B.35,Percentage,March,70,QNX,E.B.35Percentage,E.B.35PercentageQNX
E.B.35,Percentage,March,70,RPC,E.B.35Percentage,E.B.35PercentageRPC
E.B.35,Percentage,March,70,RXC,E.B.35Percentage,E.B.35PercentageRXC
E.B.35,Percentage,March,70,RYR,E.B.35Percentage,E.B.35PercentageRYR
E.B.35,Percentage,March,70,Y59,E.B.35Percentage,E.B.35PercentageY59
E.B.27,Percentage,March,77,QU9,E.B.27Percentage,E.B.27PercentageQU9
E.B.27,Percentage,March,77,RHW,E.B.27Percentage,E.B.27PercentageRHW
E.B.27,Percentage,March,77,RTH,E.B.27Percentage,E.B.27PercentageRTH
E.B.27,Percentage,March,77,RXQ,E.B.27Percentage,E.B.27PercentageRXQ
E.B.27,Percentage,March,77,QNQ,E.B.27Percentage,E.B.27PercentageQNQ
E.B.27,Percentage,March,77,RDU,E.B.27Percentage,E.B.27PercentageRDU
E.B.27,Percentage,March,77,QRL,E.B.27Percentage,E.B.27PercentageQRL
E.B.27,Percentage,March,77,R1F,E.B.27Percentage,E.B.27PercentageR1F
E.B.27,Percentage,March,77,RHM,E.B.27Percentage,E.B.27PercentageRHM
E.B.27,Percentage,March,77,RHU,E.B.27Percentage,E.B.27PercentageRHU
E.B.27,Percentage,March,77,RN5,E.B.27Percentage,E.B.27PercentageRN5
E.B.27,Percentage,March,77,QXU,E.B.27Percentage,E.B.27PercentageQXU
E.B.27,Percentage,March,77,RA2,E.B.27Percentage,E.B.27PercentageRA2
E.B.27,Percentage,March,77,RTK,E.B.27Percentage,E.B.27PercentageRTK
E.B.27,Percentage,March,77,RTP,E.B.27Percentage,E.B.27PercentageRTP
E.B.27,Percentage,March,77,QKS,E.B.27Percentage,E.B.27PercentageQKS
