icb_code,org_code,dimension_name,planning_ref,measure_type,ref_key,source,total_var,perc_var
QRL,R1F,Apr-24,E.B.23c,Count,E.B.23cCount,June24_plan,142,0.12305025996533796
QRL,R1F,Apr-24,E.B.23c,Count,E.B.23cCount,march24_plan,142,0.12305025996533796
QRL,R1F,Apr-24,E.B.23c,Count,E.B.23cCount,may24_plan,142,0.12305025996533796
QRL,R1F,Apr-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-2.6891460900000013,-0.10423046860465121
QRL,R1F,Apr-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-2.8891460900000006,-0.11112100346153848
QRL,R1F,Apr-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-2.6891460900000013,-0.10423046860465121
QRL,R1F,Aug-24,E.B.23c,Count,E.B.23cCount,June24_plan,-92,-0.06700655498907501
QRL,R1F,Aug-24,E.B.23c,Count,E.B.23cCount,march24_plan,-92,-0.06700655498907501
QRL,R1F,Aug-24,E.B.23c,Count,E.B.23cCount,may24_plan,-92,-0.06700655498907501
QRL,R1F,Aug-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-2.8766718733333363,-0.0974042395033861
QRL,R1F,Aug-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-3.3433385400000013,-0.11144461800000004
QRL,R1F,Aug-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-2.8766718733333363,-0.0974042395033861
QRL,R1F,Jul-24,E.B.23c,Count,E.B.23cCount,June24_plan,38,0.027676620538965767
QRL,R1F,Jul-24,E.B.23c,Count,E.B.23cCount,march24_plan,38,0.027676620538965767
QRL,R1F,Jul-24,E.B.23c,Count,E.B.23cCount,may24_plan,38,0.027676620538965767
QRL,R1F,Jul-24,E.B.23c,Mean,E.B.23cMean,June24_plan,5.792700209999996,0.19603046395939072
QRL,R1F,Jul-24,E.B.23c,Mean,E.B.23cMean,march24_plan,5.342700209999997,0.17809000699999988
QRL,R1F,Jul-24,E.B.23c,Mean,E.B.23cMean,may24_plan,5.792700209999996,0.19603046395939072
QRL,R1F,Jun-24,E.B.23c,Count,E.B.23cCount,June24_plan,93,0.07077625570776255
QRL,R1F,Jun-24,E.B.23c,Count,E.B.23cCount,march24_plan,93,0.07077625570776255
QRL,R1F,Jun-24,E.B.23c,Count,E.B.23cCount,may24_plan,93,0.07077625570776255
QRL,R1F,Jun-24,E.B.23c,Mean,E.B.23cMean,June24_plan,3.317104946666664,0.11625367803738307
QRL,R1F,Jun-24,E.B.23c,Mean,E.B.23cMean,march24_plan,3.8504382799999988,0.13751565285714282
QRL,R1F,Jun-24,E.B.23c,Mean,E.B.23cMean,may24_plan,3.317104946666664,0.11625367803738307
QRL,R1F,May-24,E.B.23c,Count,E.B.23cCount,June24_plan,73,0.05793650793650794
QRL,R1F,May-24,E.B.23c,Count,E.B.23cCount,march24_plan,73,0.05793650793650794
QRL,R1F,May-24,E.B.23c,Count,E.B.23cCount,may24_plan,73,0.05793650793650794
QRL,R1F,May-24,E.B.23c,Mean,E.B.23cMean,June24_plan,2.50830208,0.09088051014492753
QRL,R1F,May-24,E.B.23c,Mean,E.B.23cMean,march24_plan,2.1083020800000014,0.07529650285714291
QRL,R1F,May-24,E.B.23c,Mean,E.B.23cMean,may24_plan,2.50830208,0.09088051014492753
QRL,R1F,Nov-24,E.B.23c,Count,E.B.23cCount,June24_plan,-47,-0.03400868306801737
QRL,R1F,Nov-24,E.B.23c,Count,E.B.23cCount,march24_plan,-47,-0.03400868306801737
QRL,R1F,Nov-24,E.B.23c,Count,E.B.23cCount,may24_plan,-47,-0.03400868306801737
QRL,R1F,Nov-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-3.9243196000000005,-0.1321319730639731
QRL,R1F,Nov-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-4.224319600000001,-0.14081065333333337
QRL,R1F,Nov-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-3.9243196000000005,-0.1321319730639731
QRL,R1F,Oct-24,E.B.23c,Count,E.B.23cCount,June24_plan,-142,-0.099370188943317
QRL,R1F,Oct-24,E.B.23c,Count,E.B.23cCount,march24_plan,-142,-0.099370188943317
QRL,R1F,Oct-24,E.B.23c,Count,E.B.23cCount,may24_plan,-142,-0.099370188943317
